iter	Passed	Remaining
0	66	19875
1	128	19112
2	190	18816
3	247	18324
4	309	18236
5	363	17795
6	420	17581
7	476	17375
8	529	17110
9	592	17179
10	648	17027
11	701	16846
12	755	16684
13	809	16529
14	862	16380
15	916	16265
16	969	16145
17	1028	16113
18	1082	16013
19	1142	15991
20	1202	15977
21	1259	15914
22	1316	15854
23	1386	15940
24	1462	16092
25	1526	16084
26	1587	16050
27	1669	16214
28	1739	16253
29	1819	16379
30	1897	16466
31	1973	16527
32	2039	16499
33	2101	16440
34	2159	16350
35	2229	16352
36	2296	16323
37	2363	16293
38	2443	16354
39	2539	16508
40	2621	16558
41	2728	16760
42	2845	17003
43	2942	17121
44	3043	17246
45	3145	17369
46	3239	17439
47	3321	17437
48	3403	17434
49	3498	17491
50	3587	17513
51	3675	17527
52	3758	17515
53	3851	17545
54	3944	17571
55	4039	17600
56	4101	17485
57	4168	17393
58	4231	17283
59	4308	17232
60	4381	17165
61	4456	17106
62	4523	17017
63	4594	16942
64	4667	16876
65	4758	16869
66	4854	16882
67	4941	16858
68	5030	16841
69	5240	17220
70	5345	17240
71	5405	17117
72	5462	16986
73	5527	16879
74	5607	16822
75	5687	16762
76	5760	16684
77	5861	16683
78	6023	16849
79	6156	16930
80	6289	17005
81	6405	17028
82	6487	16960
83	6561	16871
84	6644	16806
85	6725	16735
86	6828	16717
87	6932	16700
88	7039	16689
89	7125	16625
90	7198	16533
91	7286	16474
92	7379	16424
93	7484	16401
94	7581	16360
95	7654	16265
96	7719	16155
97	7784	16044
98	7844	15926
99	7908	15816
100	7982	15728
101	8083	15692
102	8185	15655
103	8258	15564
104	8331	15472
105	8391	15358
106	8471	15280
107	8572	15239
108	8674	15200
109	8772	15152
110	8838	15049
111	8908	14953
112	8981	14863
113	9052	14769
114	9120	14671
115	9199	14591
116	9356	14634
117	9488	14634
118	9597	14598
119	9684	14526
120	9739	14408
121	9806	14307
122	9862	14192
123	9921	14082
124	9991	13987
125	10046	13873
126	10103	13763
127	10168	13664
128	10233	13565
129	10297	13465
130	10357	13362
131	10425	13268
132	10485	13165
133	10554	13075
134	10617	12977
135	10680	12879
136	10745	12785
137	10807	12687
138	10874	12595
139	10934	12496
140	11010	12416
141	11111	12362
142	11224	12323
143	11329	12274
144	11407	12194
145	11479	12108
146	11554	12026
147	11622	11936
148	11695	11852
149	11773	11773
150	11860	11703
151	11938	11624
152	12004	11534
153	12059	11433
154	12112	11330
155	12166	11230
156	12214	11125
157	12263	11021
158	12317	10923
159	12364	10818
160	12500	10792
161	12582	10718
162	12631	10616
163	12680	10515
164	12736	10420
165	12788	10323
166	12841	10227
167	12893	10130
168	12945	10034
169	12995	9937
170	13057	9850
171	13111	9757
172	13167	9666
173	13218	9571
174	13277	9484
175	13333	9393
176	13392	9306
177	13472	9234
178	13551	9160
179	13619	9079
180	13684	8997
181	13755	8918
182	13825	8839
183	13889	8756
184	13953	8673
185	14014	8589
186	14062	8497
187	14108	8405
188	14159	8316
189	14212	8228
190	14265	8141
191	14342	8067
192	14437	8004
193	14512	7929
194	14574	7847
195	14634	7765
196	14688	7679
197	14739	7593
198	14794	7508
199	14849	7424
200	14906	7342
201	14960	7257
202	15016	7175
203	15066	7089
204	15115	7004
205	15163	6919
206	15213	6835
207	15283	6759
208	15358	6687
209	15416	6606
210	15473	6526
211	15537	6449
212	15613	6377
213	15690	6305
214	15769	6234
215	15858	6167
216	15966	6106
217	16061	6041
218	16158	5976
219	16253	5910
220	16338	5840
221	16431	5773
222	16517	5703
223	16653	5650
224	16760	5586
225	16844	5515
226	16924	5442
227	17021	5375
228	17116	5306
229	17209	5237
230	17289	5164
231	17358	5087
232	17446	5016
233	17532	4945
234	17606	4869
235	17681	4795
236	17750	4718
237	17821	4642
238	17891	4566
239	17969	4492
240	18031	4414
241	18103	4338
242	18168	4261
243	18232	4184
244	18302	4108
245	18362	4030
246	18440	3956
247	18549	3889
248	18632	3816
249	18697	3739
250	18761	3662
251	18822	3585
252	18883	3507
253	18953	3432
254	19019	3356
255	19086	3280
256	19148	3203
257	19210	3127
258	19270	3050
259	19332	2974
260	19391	2897
261	19460	2822
262	19529	2747
263	19592	2671
264	19648	2595
265	19708	2519
266	19771	2443
267	19856	2370
268	19918	2295
269	19983	2220
270	20044	2144
271	20105	2069
272	20169	1994
273	20235	1920
274	20298	1845
275	20364	1770
276	20426	1696
277	20492	1621
278	20558	1547
279	20616	1472
280	20682	1398
281	20745	1324
282	20823	1250
283	20891	1176
284	21060	1108
285	21168	1036
286	21256	962
287	21336	889
288	21419	815
289	21496	741
290	21551	666
291	21621	592
292	21681	517
293	21741	443
294	21855	370
295	21928	296
296	22022	222
297	22093	148
298	22161	74
299	22234	0
